"Unemployment and median household income for the U.S., States, and counties, 2000-13",,,,,
,,,,,
Sources: Unemployment - Bureau of Labor Statistics - LAUS data - http://www.bls.gov/,,,,,
Median Household Income - Census Bureau - SAIPE data - http://www.census.gov/did/www/saipe/,,,,,
"Rural Classifications - USDA, Economic Research Service - http://www.ers.usda.gov/topics/rural-economy-population/rural-classifications.aspx#.Ux28Kc5H0yM",,,,,
,,,,,
FIPS_Code,State,Area_name,State_FIPS,Cnty_FIPS,Median_Household_Income_2012
01001,AL,Autauga County,01,001,"51,441"
01003,AL,Baldwin County,01,003,"48,867"
01005,AL,Barbour County,01,005,"30,287"
01007,AL,Bibb County,01,007,"37,392"
01009,AL,Blount County,01,009,"44,225"
01011,AL,Bullock County,01,011,"25,854"
01013,AL,Butler County,01,013,"30,605"
01015,AL,Calhoun County,01,015,"39,212"
01017,AL,Chambers County,01,017,"32,320"
01019,AL,Cherokee County,01,019,"37,868"
01021,AL,Chilton County,01,021,"39,621"
01023,AL,Choctaw County,01,023,"33,390"
01025,AL,Clarke County,01,025,"34,606"
01027,AL,Clay County,01,027,"34,579"
01029,AL,Cleburne County,01,029,"38,235"
01031,AL,Coffee County,01,031,"45,631"
01033,AL,Colbert County,01,033,"39,771"
01035,AL,Conecuh County,01,035,"27,110"
01037,AL,Coosa County,01,037,"32,960"
01039,AL,Covington County,01,039,"34,017"
01041,AL,Crenshaw County,01,041,"33,648"
01043,AL,Cullman County,01,043,"37,938"
01045,AL,Dale County,01,045,"40,125"
01047,AL,Dallas County,01,047,"27,400"
01049,AL,DeKalb County,01,049,"37,644"
01051,AL,Elmore County,01,051,"52,324"
01053,AL,Escambia County,01,053,"33,588"
01055,AL,Etowah County,01,055,"35,737"
01057,AL,Fayette County,01,057,"35,720"
01059,AL,Franklin County,01,059,"33,173"
01061,AL,Geneva County,01,061,"33,347"
01063,AL,Greene County,01,063,"24,592"
01065,AL,Hale County,01,065,"31,025"
01067,AL,Henry County,01,067,"37,108"
01069,AL,Houston County,01,069,"40,609"
01071,AL,Jackson County,01,071,"39,618"
01073,AL,Jefferson County,01,073,"43,967"
01075,AL,Lamar County,01,075,"33,940"
01077,AL,Lauderdale County,01,077,"41,536"
01079,AL,Lawrence County,01,079,"38,524"
01081,AL,Lee County,01,081,"43,182"
01083,AL,Limestone County,01,083,"49,616"
01085,AL,Lowndes County,01,085,"28,544"
01087,AL,Macon County,01,087,"27,709"
01089,AL,Madison County,01,089,"57,072"
01091,AL,Marengo County,01,091,"31,888"
01093,AL,Marion County,01,093,"32,237"
01095,AL,Marshall County,01,095,"36,960"
01097,AL,Mobile County,01,097,"39,546"
01099,AL,Monroe County,01,099,"36,221"
01101,AL,Montgomery County,01,101,"41,430"
01103,AL,Morgan County,01,103,"44,766"
01105,AL,Perry County,01,105,"25,215"
